customerName,,Date,comment
Rayan khalid,,قبل سنة,قهوه جديده كان افتتاحهم اليوم الصراحه الشغل اعلى من المتوقع بحكم انه يوم افتتاح مالاحظت وجود اغلاط وطاقم العمل جدا لطيف الصدق اهنيهم دخول قوي على مجال القهوه واتوقع يحفر اسمه بالسوق …
Latifa Khaled,,قبل سنة,اشوف من اروّق كافيهات الرياض حالياً المكان جميل ويستاهل تزورونه الجلسات مُريحه للعمل والقهوه اوصيكم على قهوة اليوم فنانة ..
الهنوف العنزي,,قبل سنة,"مكان حلو والقهوه  ايس دريب ثقيله جوييييي
الي يحبها ثقيله خذوها   وتشيز كيك لذيذذذذ
انا رحت ب صباح احس بليل يطلع حلو مع الأضاءه"
ابراهيم,,قبل سنة,"الزيارة جميلة اهتمامهم بنظافة المكان جميلة
كان ايام العيد وموجود الاحتفال بالعيد و مهتمين بمناسبات الاعياد و الايام الوطنية تفرق بشكل كبير لزبائن عندهم سويت متخصصين فيه بعدة انواع …"
hadeel sh,,قبل سنة,اولاً المكان شرح وكبير والديكور رايق مرره 🤩وثانياً طعم فلات وايت ولا غلطة 👌🏻💯😍مرره عجبني وثالثاً تعاملهم مررره 💯👌🏻رغم الزحمة ولي زيارة كثيرة باذن الله جد يستاهلون وربي يوفقهم 😍 …
Thsisters,,قبل سنة,المكان جميل وشرح جربنا الايس ماتشا لاتيه 🍵حلوه والايس كركديه 🌺لذيذ وتشيز كيك …
خلود صالح,,قبل سنة,"زيارتي كانت الظهر فالمكان رايق وهادي
القهوة موزونه طلبنا بلاك وسبنش👍🏻
الحلا لذيذ …"
عمر العنزي,,قبل سنة,"تجربة اول مره اول يوم عيد تعامل رائع و احترافي
و جيتهم امس بعد تعامل اروع …"
YAZEED,,قبل 11 شهرًا,"كوفي جميل والقهوة لذيذة
جربنا كورتادو 10/10
قهوة اليوم 10/09
تشيز كيك توت 10/10"
Sager Sager,,قبل 5 أشهر,من أجمل الاماكن بالرياض  ومشروب الكركديه بطل
Fosahah,,قبل سنة,"من أجمل أماكن القهوة الجديدة بالرياض وتتميز بتصميم المكان الجميل والهادئ ، القهوة المميزة ، والحلى اللي أشوفه من الأفضل بالرياض . …"
Mo Ib,,قبل شهرين,قرون مكان جميل وقهوتهم حلوه وحلاهم الي طلبت لذيذ. يستحق التجربة
RAWAN,,قبل سنة,"تجربة ممتازه والاجواء رائعه🤩
قهوتهم بطله والتشيز👍🏻 …"
Sara,,قبل سنة,"الحلى جيد، جربت اللاتيه وطلع طعم القهوة جدا حامض وما كانت حارة (للأسف ما تنشرب). ايضا المكان مره زحمة فحطوا هذا الشيء في بالكم سواء الجلسات او المواقف. الجلسات لطيفة والديكور شرح."
Ali Alshehri,,قبل سنة,"زُرتهم وطلبت v60
جدآ جدآ عااااادي وكوب يكون مليان وكوب يكون ناقص ما فيه توازن في طريقة التعبئه
وطلبت حلا صراحة الحلا يفوز عندهم …"
Afaf abdulrahman,,قبل سنة,كوفي واسع وشرح والخدمة رائعة طلبنا قهوة اليوم وايس سبانش كلهم ١٠/١٠ وتشيز كيك مرره لذيذة الله يوفقهم والاجمل ان مافيه موسيقى
re Aa,,قبل سنة,هذي تجبرتي الثالثه للمكان بنظري متميييزين بالحلا بشكل رائع جربت السينابون مستعده ارجع له الف مره نصيحة جرببوه لايفوتكم واكيد مع قهوة اليوم 😋 …
Msh msh,,قبل سنة,"نبدا تقييم ..
المكان داييم زحمه ماشاء الله الله يبارك لهم
دايم اخذ طلبي خارجي من الزحمه …"
باسل الحامد,,قبل سنة,جربة كيكة العسل عندهم لذيذه وخذيت ايس درب صراحه قهوة ظهر يوم الجمعه عندهم غير☕️😍 …
ريم عزيز,,قبل سنة,المكان شرح والقهوه لذيذة والسويت الجديد مو طبيعي 🤤❤️‍🔥 وفيه فطور كمان آعجبتني عندهم سبايسي تونا 💯 …
مشاري عبدالله,,قبل سنة,"الايس كركديه عندهم لذيذ والتوصيات عليه كثيره
بس شوي مبالغ في سعره جربنا قهوة اليوم مو كويسه مرره 😓 …"
L A,,قبل 3 أشهر,"عن رأيي الذ كركديه جربته بالرياض ما امزح
وكيك التربل شوكلت لذييييذ بس صراحه اسعارهم تعتبر عاليه شوي"
Shadn 55,,قبل 5 أشهر,حلوة مره القهوة حقتهم حلوه لكن الحلا حقهم ما اعجبني جربت اكثر من شي عادي وزحمه شوي لكن تعالو بدري المغرب الكركديه حقهم لذيذ الى الان مالقيت منافس له
Sym .m,,قبل 7 أشهر,"مكان بسيط ودايما تبارك الرحمن مزدحم ماشاءالله تبارك الله.
ولا مره قد اتيحت لي الفرصه اجلس فيه رغم كثر زياراتي بسبب الزحمه وبرضه ما ودي يشوفون الناس ان كل الطلبات الي اطلبها لي لحالي 🐪. …"
Sara Saad,,قبل 10 أشهر,القهوه مره لذيذه المحصول اثيوبي لا تفوتكم والسينابون لذيذ وهش مره والسويت الجديد لذيذ مليان لغاوييص 😋😋 …
Hanan Abdulaziz,,قبل 9 أشهر,"فعاليات العيد عندهم حلوه 😍
لكن قهوة V60 كولمبي ما اعجبتني حموضة عاليه
الحلا اعجبني وارجع مره ثانيه اجرب منتجات اخرى …"
Mishal Shary,,قبل شهرين,كوبك السادس مجاناً معناته كل كوب تشتريه ينكتب لك فالمكافآت .. الكاشير يقول يوم السادس مجاني اتمنى تراجعون النقطة هذي او تغيرونها
Alanood,,قبل سنة,"جربت عندهم الماتشا وصراحه لذيذ اقيمه ٩.٤/١٠ ومايعتبر حالي ابد طعمه موزون
وجربت بعد التشيز كيك ولذيذ برضو اقيمه ٨/١٠
المكان يعتبر ضيق شوي بالنسبه للزحمه الطلب يمكن انتظرت من ١٠ الى ١٥ دقيقة
ممكن اكرر الزيارة اكثر من مره"
munera abdullah,,قبل سنة,المكان حلو بس يعيبه الزحمه والشكليات اللي تتميلح واجد عندهم حلى دانيش بالبنانا لذيذ حرفيا والبيكان لذيذ و التشيز كيك ماعجبني مره و قهوتهم اليوم بالمخ وحلوه وتعامل الموظفين حلو اكرر الزياره له بس لين تخف زحمته🤩🤎🤎🤎🤎 …
Hala Almadhi,,قبل شهر,"رايق وهادي ، ساندوتش التيركي عادي .. كيك التربل شوكولاته لذيذ والقهوة حلوة 😋 …"
Ha M,,قبل سنة,"ماش صراحه مو قد التوقعات!
سبايسي التونة عادي جداً والحلوم زعتر ناشفة وفيه الافضل منهم بمليون مره ما ارجع لفطوركم اكيد"
عمر,,قبل شهرين,ماحببني بالقهوه الا الكاشير محترم وانيق و ذوق ومحترم الشخص الصح بالمكان الصح 👍🏻 …
Amira .,,قبل سنة,"هذي سادس زيارة لي لقرون ، من احلى قهاوي الرياض مكان وجودة وخدمة ، عندهم ألذ كركديه ممكن تذوقونه والتيشز كيك يمي ، برضو التونا سبايسي لذيييييييذه انصح فيها❤️❤️"
Ateq Ateq,,قبل سنة,"الكوفي رائعع جدا والكركديه الافضضلل❤️❤️
والمكان يفتح النفس
وزحمه الله يوفقهم ياربب"
فاطمه الربعي,,قبل سنة,الحمام مستهلك جدا والنظافه صفر  مااتوقع صاحب المحل شايف وراضي اتمنى تهتمون بنظافه الحمام زي ماتهتمون بجودة المنتجات  عذر ع الصور بس عشان اهمال العمال بينفر الناس
Ghaida Abdullah,,قبل سنة,"بوكس الفطور جدًا عادي ومو لذيذ ابدد ولا يستاهل السعر المرتفع المكان مره زحمه وما ارجع له مره ثانيه كلهم مراهقين ومافيه جلسات كل واحد جاي يتفرج عالثاني، الشي الوحيد زين عندهم الكركديه فقط"
Akhdan Alsurur,,قبل سنة,"مكان بسيط وجميييل
جربت عندهم ايسV60 اثيوبي موززززززووووونه صح اعطيها 10/7😍
وجربت دانيش بالتشيز كيك لذيذذذذه وخفيفه اعطيها 10/7😍
بشكل عام يستاهل الزياره👍🏽✨ …"
MoHaMmAd S for S,,قبل سنة,"مكان قهوة جميل ، واسع نوعاً ما
قهوتهم حلوة المخبوزات والحلى ممتازة"
Reem,,قبل سنة,الذ كركديه ذقته عندهم وفيه طعم نعناع منعش مرره والتشيز والبيكان خيالييين تبارك الله تقيمي لكل شيء ١٠/١٠
Bu,,قبل 11 شهرًا,"المكان حلو
قهوة اليوم حلوه
حلا التشوكلت الهبه للاسف م عجبني"
Hatoon Suliman,,قبل سنة,"جي بن تشيز و السينابون بن يمي مره
القهوه جربت V60 و فلات وايت و امريكانو كلها  لذيذه ماشاءالله
بالتوفيق 🤍 …"
Hanin A,,قبل 3 أشهر,"القهوة جيدة .. التربل تشوكليت لذيذ كذلك بنز التشيز كيك مره يمي 🩵
يعيبه الزحمة فقط . …"
S,,قبل سنة,داييييم اجيهم واحب قهوتهم والتشيز كيك واخر مره جربت الماتشا عجبتنيييي🫶🏻 …
